#times,#rank,#character
1921,1,的
954,2,一
481,3,是
403,4,你
400,5,在
393,6,不
336,7,我
333,8,了
229,9,那
225,10,來
219,11,有
207,12,下
196,13,人
192,14,上
183,15,地
166,16,著
158,17,風
155,18,水
151,19,去
149,20,天
147,21,年
143,22,頭
135,23,海
133,24,而
132,25,到
131,26,長
127,27,回
125,28,就
123,29,子
123,30,過
122,31,後
119,32,這
118,33,都
116,34,只
116,35,無
112,36,向
111,37,也
110,38,個
109,39,手
109,40,遠
109,41,夜
109,42,聲
106,43,從
99,44,和
95,45,輕
94,46,千
94,47,山
93,48,裡
92,49,裏
91,50,大
91,51,光
90,52,小
89,53,啊
89,54,多
88,55,中
87,56,麼
87,57,雨
87,58,成
86,59,面
85,60,把
85,61,落
85,62,起
84,63,白
83,64,出
83,65,又
82,66,月
82,67,要
81,68,樣
81,69,時
80,70,燈
79,71,說
78,72,搖
76,73,然
75,74,更
75,75,已
75,76,空
74,77,得
72,78,為
72,79,最
70,80,如
70,81,青
69,82,高
69,83,還
69,84,聽
68,85,日
67,86,半
65,87,十
65,88,深
64,89,開
64,90,他
63,91,外
63,92,江
62,93,心
62,94,自
61,95,色
60,96,看
60,97,邊
60,98,滿
59,99,方
58,100,能
58,101,所
58,102,再
58,103,對
57,104,太
57,105,之
56,106,少
56,107,夢
56,108,讓
56,109,四
56,110,或
55,111,黃
55,112,黑
54,113,幾
54,114,眼
53,115,怎
52,116,清
52,117,生
51,118,該
51,119,知
51,120,細
50,121,似
50,122,見
50,123,路
50,124,流
49,125,髮
49,126,三
49,127,笑
49,128,南
49,129,間
48,130,河
48,131,呢
47,132,像
47,133,音
47,134,動
47,135,處
47,136,仙
47,137,給
46,138,走
46,139,冷
46,140,古
46,141,陽
46,142,可
45,143,老
45,144,歌
45,145,驚
45,146,斷
45,147,前
44,148,世
44,149,花
44,150,神
44,151,正
44,152,何
43,153,口
43,154,東
43,155,樓
43,156,火
43,157,吧
43,158,問
42,159,誰
42,160,望
42,161,低
41,162,紅
41,163,與
41,164,當
41,165,依
40,166,茫
40,167,什
40,168,便
40,169,萬
39,170,永
39,171,經
39,172,吹
39,173,晚
39,174,西
38,175,城
38,176,家
38,177,重
38,178,們
38,179,石
38,180,北
38,181,道
38,182,星
38,183,明
37,184,氣
37,185,隻
37,186,醒
37,187,鄉
37,188,留
37,189,秋
37,190,今
36,191,飛
36,192,失
36,193,金
36,194,會
36,195,身
35,196,信
35,197,雲
35,198,國
35,199,此
35,200,飄
35,201,悠
34,202,島
34,203,界
34,204,於
34,205,切
34,206,香
34,207,浪
34,208,歸
34,209,七
34,210,才
34,211,點
34,212,窗
33,213,美
33,214,樹
33,215,想
33,216,全
33,217,帶
33,218,隱
33,219,影
32,220,未
32,221,些
32,222,竟
32,223,接
32,224,沉
32,225,等
32,226,嗎
31,227,張
31,228,原
31,229,血
31,230,住
31,231,行
31,232,卻
30,233,溫
30,234,雪
30,235,門
30,236,公
30,237,背
30,238,用
30,239,被
29,240,片
29,241,親
29,242,兩
29,243,鏡
29,244,盡
29,245,進
28,246,好
28,247,苦
28,248,靜
28,249,船
28,250,傳
28,251,岸
28,252,波
28,253,暗
28,254,煙
27,255,她
27,256,入
27,257,轉
27,258,潮
27,259,哪
27,260,握
27,261,寂
27,262,巷
27,263,齒
26,264,座
26,265,酒
26,266,耳
26,267,以
26,268,霞
26,269,肥
26,270,五
26,271,悲
26,272,名
26,273,相
26,274,底
26,275,怕
26,276,六
25,277,總
25,278,死
25,279,頂
25,280,母
25,281,猶
25,282,土
25,283,昏
25,284,亮
25,285,絕
25,286,士
25,287,縱
25,288,鋸
24,289,條
24,290,車
24,291,掌
24,292,叫
24,293,盞
24,294,馬
24,295,迴
24,296,層
24,297,慢
23,298,放
23,299,圓
23,300,安
23,301,將
23,302,哀
23,303,九
23,304,詩
23,305,纖
23,306,越
23,307,季
23,308,線
22,309,果
22,310,孩
22,311,記
22,312,亂
22,313,打
22,314,沙
22,315,田
22,316,里
22,317,夏
22,318,比
22,319,每
22,320,滾
22,321,同
22,322,沒
22,323,難
22,324,湖
22,325,真
21,326,街
21,327,代
21,328,戰
21,329,嘯
21,330,龍
21,331,平
21,332,分
21,333,峽
21,334,關
21,335,話
21,336,者
21,337,破
21,338,熱
21,339,壓
21,340,做
21,341,曾
21,342,跟
21,343,故
21,344,事
21,345,輪
21,346,認
21,347,百
20,348,燒
20,349,陸
20,350,柔
20,351,指
20,352,呼
20,353,淺
20,354,己
20,355,鳥
20,356,意
20,357,渡
20,358,絲
20,359,蒼
20,360,客
20,361,密
20,362,港
19,363,杯
19,364,仰
19,365,冰
19,366,久
19,367,候
19,368,壁
19,369,傷
19,370,直
19,371,午
19,372,笛
19,373,新
19,374,陣
19,375,斜
19,376,壯
19,377,童
19,378,情
19,379,垂
19,380,葉
19,381,隔
19,382,迷
19,383,端
19,384,八
18,385,歲
18,386,舊
18,387,民
18,388,睡
18,389,哭
18,390,印
18,391,根
18,392,圍
18,393,鬼
18,394,魚
18,395,甘
18,396,甜
18,397,愁
18,398,機
18,399,獨
18,400,玻
18,401,璃
18,402,睛
18,403,淡
18,404,顧
18,405,夠
18,406,短
17,407,答
17,408,麗
17,409,舉
17,410,揮
17,411,早
17,412,草
17,413,嫋
17,414,追
17,415,力
17,416,命
17,417,仍
17,418,愈
17,419,景
17,420,由
17,421,暮
17,422,目
17,423,二
17,424,緊
17,425,照
17,426,孤
17,427,扇
16,428,衣
16,429,右
16,430,左
16,431,唇
16,432,臉
16,433,臂
16,434,現
16,435,發
16,436,鼓
16,437,旗
16,438,探
16,439,塔
16,440,盤
16,441,塊
16,442,劍
16,443,究
16,444,應
16,445,倒
16,446,荒
16,447,尾
16,448,恆
16,449,隨
16,450,滔
16,451,它
16,452,守
16,453,角
16,454,靈
16,455,魂
16,456,幽
16,457,灰
16,458,透
16,459,莫
16,460,場
16,461,論
15,462,枕
15,463,友
15,464,憶
15,465,尋
15,466,字
15,467,整
15,468,列
15,469,敲
15,470,眠
15,471,史
15,472,藍
15,473,首
15,474,濕
15,475,截
15,476,撥
15,477,找
15,478,眾
15,479,觸
15,480,滴
15,481,霧
15,482,翻
15,483,側
15,484,蹄
15,485,籃
15,486,遊
15,487,骨
15,488,陰
15,489,顫
15,490,銀
15,491,境
15,492,翩
15,493,許
14,494,雙
14,495,腳
14,496,體
14,497,幸
14,498,忘
14,499,紋
14,500,牧
14,501,瓜
14,502,電
14,503,始
14,504,蛙
14,505,游
14,506,霜
14,507,終
14,508,熟
14,509,牽
14,510,第
14,511,近
14,512,楚
14,513,烈
