#times,#rank,#word
1900,1,的
712,2,一
394,3,你
380,4,是
366,5,在
311,6,我
292,7,了
192,8,不
176,9,那
157,10,著
124,11,有
123,12,而
116,13,都
109,14,就
108,15,地
107,16,也
106,17,上
99,18,個
97,19,和
93,20,只
92,21,這
90,22,來
88,23,啊
84,24,向
83,25,把
83,26,又
82,27,裡
77,28,去
75,29,從
66,30,到
64,31,說
64,32,更
63,33,人
59,34,下
57,35,要
54,36,他
54,37,讓
52,38,看
50,39,已
48,40,該
48,41,後
48,42,呢
47,43,中
47,44,天
46,45,遠
44,46,還
43,47,最
43,48,吧
42,49,手
42,50,誰
41,51,裏
41,52,與
40,53,夜
40,54,再
39,55,得
38,56,問
37,57,像
37,58,隻
37,59,聽
37,60,輕輕
37,61,對
36,62,小
35,63,幾
35,64,為
35,65,過
35,66,半
35,67,所有
34,68,搖
33,69,似
32,70,什麼
32,71,多
32,72,嗎
31,73,風
31,74,便
31,75,海
30,76,多少
30,77,千
30,78,給
30,79,卻
29,80,燈
29,81,長
29,82,才
29,83,被
28,84,那樣
28,85,之
28,86,正
28,87,如
27,88,她
27,89,世界
27,90,會
27,91,雨
27,92,哪
27,93,成
26,94,頭
25,95,片
25,96,夢
25,97,面
25,98,或
24,99,笑
24,100,回頭
23,101,水
23,102,盞
23,103,無
23,104,或是
23,105,怕
22,106,座
22,107,我們
22,108,起
22,109,當
22,110,留下
21,111,能
21,112,少年
21,113,邊
21,114,已經
21,115,最後
21,116,一切
21,117,外
21,118,張
21,119,太陽
21,120,每
21,121,怎麼
20,122,條
20,123,全
20,124,還是
20,125,時
20,126,一頭
20,127,用
20,128,知
19,129,回
19,130,想
19,131,握
19,132,自己
19,133,黃昏
19,134,未
19,135,將
19,136,跟
18,137,溫柔
18,138,白
18,139,樹
18,140,醒
18,141,猶
18,142,大
18,143,比
18,144,不再
18,145,山
18,146,眼睛
18,147,越
18,148,鋸齒
17,149,滿
17,150,仍
17,151,歌
17,152,等
17,153,做
17,154,太
16,155,三
16,156,它
16,157,兩
16,158,愈
16,159,江湖
15,160,茫茫
15,161,母親
15,162,聽見
15,163,究竟
15,164,月光
15,165,永恆
15,166,悲哀
15,167,細細
15,168,可
15,169,無論
15,170,層
14,171,心
14,172,大陸
14,173,如果
14,174,落在
14,175,開
14,176,走
14,177,塊
14,178,里
14,179,不能
14,180,竟
14,181,悠悠
14,182,玻璃
14,183,一樣
14,184,聲
14,185,遠方
14,186,自由
13,187,飛
13,188,家
13,189,死
13,190,斷
13,191,鳥
13,192,接
13,193,光
13,194,搖籃
13,195,月
13,196,前
13,197,隱隱
13,198,依然
13,199,知了
12,200,總
12,201,臉
12,202,叫
12,203,好
12,204,空
12,205,黃河
12,206,青青
12,207,吹
12,208,海峽
12,209,不見
12,210,白髮
12,211,縱
12,212,難
12,213,路
12,214,種
12,215,落日
12,216,莫
12,217,就是
12,218,暮色
12,219,老
12,220,見
11,221,風裏
11,222,島
11,223,根
11,224,此
11,225,傳說
11,226,首
11,227,晚
11,228,屏東
11,229,些
11,230,者
11,231,沒有
11,232,帶
11,233,截
11,234,這麼
11,235,總是
11,236,快
10,237,次
10,238,城
10,239,雲
10,240,永遠
10,241,記憶
10,242,另
10,243,所
10,244,肥肥
10,245,小小
10,246,應
10,247,亦
10,248,知道
10,249,寸
10,250,望
10,251,深
10,252,粒
10,253,隔
10,254,冷
10,255,深處
10,256,喊
10,257,劍
10,258,那些
10,259,吾
10,260,怎樣
10,261,七
10,262,盡
10,263,回到
10,264,夠
10,265,窗
10,266,南
10,267,夏天
10,268,仙人
9,269,雪
9,270,外面
9,271,回去
9,272,現在
9,273,半島
9,274,船
9,275,古
9,276,長城
9,277,鬼
9,278,壓
9,279,波
9,280,身
9,281,不盡
9,282,不斷
9,283,亮
9,284,名字
9,285,公
9,286,歸
9,287,為了
9,288,曾
9,289,清
9,290,背後
9,291,高
9,292,纖纖
9,293,從前
9,294,髮
9,295,黑
9,296,歲月
9,297,頂
9,298,秋
9,299,傘
9,300,隨
9,301,慢慢
9,302,流過
9,303,遍
9,304,夜色
9,305,雨聲
9,306,童年
9,307,煙
8,308,答案
8,309,歲
8,310,為什麼
8,311,信
8,312,算
8,313,唇
8,314,美麗
8,315,孩子
8,316,整個
8,317,出
8,318,匹
8,319,揮
8,320,晚霞
8,321,空空
8,322,北方
8,323,直到
8,324,鏡
8,325,海棠
8,326,田
8,327,從此
8,328,鄉愁
8,329,間
8,330,找
8,331,樓上
8,332,大江東去
8,333,之間
8,334,永
8,335,霧
8,336,同樣
8,337,枕
8,338,滔滔
8,339,時間
8,340,一直
8,341,千年
8,342,疊
8,343,苦
8,344,凡
8,345,美
8,346,之後
8,347,重
8,348,即
8,349,燒
8,350,只要
8,351,杯
8,352,英雄
8,353,一路
8,354,住
8,355,故事
8,356,今晚
8,357,寂寞
8,358,亂
8,359,怎
8,360,風聲
8,361,細
8,362,場
8,363,對岸
8,364,過去
8,365,秦
8,366,中秋
7,367,顆
7,368,惡夢
7,369,小時候
7,370,睡
7,371,哭
7,372,月亮
7,373,歷史
7,374,長江
7,375,血
7,376,甜甜
7,377,牧神
7,378,西
7,379,淺淺
7,380,不過
7,381,聲音
7,382,冷冷
7,383,浪
7,384,嫋嫋
7,385,呵
7,386,以後
7,387,長安
7,388,殺
7,389,垂下
7,390,屬於
7,391,依稀
7,392,濕
7,393,只是
7,394,自
7,395,愛
7,396,絲
7,397,曾經
7,398,怎能
7,399,中間
7,400,下山
7,401,底
7,402,但
7,403,除了
7,404,額頭
7,405,何處
7,406,上游
7,407,行人
7,408,橋
7,409,無所謂
7,410,風吹
7,411,停
7,412,敢
7,413,你們
7,414,流
7,415,滾滾
7,416,這樣
7,417,朝
7,418,萬
7,419,位
7,420,乘
7,421,真
7,422,日子
7,423,燈光
7,424,故鄉
7,425,四十年
7,426,道
7,427,扇
7,428,滿地
7,429,汽笛
7,430,事
7,431,恢復
7,432,季節
7,433,青
7,434,無端
7,435,巷子
7,436,金鋸子
7,437,貼
6,438,年輕
6,439,左
6,440,輕
6,441,落
6,442,且
6,443,久
6,444,方向
6,445,欲
6,446,手指
6,447,燈塔
6,448,之外
6,449,江南
6,450,海風
6,451,掌
6,452,甘蔗
6,453,五
6,454,長長
6,455,一陣
6,456,深深
6,457,搖撼
6,458,推
6,459,尺
6,460,曳
6,461,枝
6,462,回聲
6,463,守
6,464,春天
6,465,依舊
6,466,任
6,467,依依
6,468,人間
6,469,唉
6,470,紅
6,471,蟋蟀
6,472,不可
6,473,南方
6,474,句
6,475,近
6,476,暗
6,477,汗
6,478,劫
6,479,一些
6,480,哎
6,481,探
6,482,飄飄
6,483,走過
6,484,下午
6,485,雨季
6,486,下樓
6,487,腰
6,488,步
6,489,下面
6,490,鏡子
6,491,失
6,492,連
6,493,耳朵
6,494,輪
6,495,蒼蒼
6,496,蒼茫
6,497,清明
6,498,端午
6,499,失落
6,500,年前
6,501,一點
6,502,高速
6,503,窗口
6,504,偏
6,505,艘
6,506,香港
6,507,風景
6,508,梳
6,509,而今
6,510,非
6,511,日夜
6,512,一下子
6,513,留
6,514,北
6,515,何
6,516,霞
6,517,倦
6,518,排
6,519,愁
6,520,待
6,521,翩翩
6,522,恍惚
6,523,逝
6,524,星
6,525,動
6,526,唯
6,527,夜深
6,528,水仙
6,529,照
6,530,不要
6,531,拉
6,532,聞
6,533,鐵軌
5,534,一口氣
5,535,吻
5,536,國
5,537,右
5,538,耳
5,539,嘴唇
5,540,樣
5,541,放手
5,542,鼾聲
5,543,靜靜
5,544,這些
5,545,浮
5,546,沙
5,547,忘
5,548,舉起
5,549,海岸
5,550,瓜
5,551,香蕉
5,552,一方
5,553,撥出
5,554,整
5,555,群
5,556,斜
5,557,獨
5,558,姿態
5,559,神話
5,560,必須
5,561,長臂
5,562,以為
5,563,破
5,564,海外
5,565,一年
5,566,生命
5,567,九州
5,568,時光
5,569,長江水
5,570,滋味
5,571,雪花白
5,572,臘梅香
5,573,墓
5,574,詩
5,575,牽
5,576,浪子
5,577,井
5,578,天地
5,579,過處
5,580,猛
5,581,時候
5,582,回家
5,583,收集
5,584,咳
5,585,紛紛
5,586,民歌手
5,587,青蛙
5,588,草
5,589,下游
5,590,門
5,591,迴聲
5,592,下來
5,593,別
5,594,那麼
5,595,高高
5,596,魚
5,597,老人
5,598,命運
5,599,過來
5,600,不會
5,601,如此
5,602,淡
5,603,阿善
5,604,蹲
5,605,透明
5,606,民謠
5,607,催眠
5,608,狠狠地
5,609,年代
5,610,一半
5,611,回顧
5,612,怪
5,613,生
5,614,肯
5,615,拳頭
5,616,剩
5,617,伴
5,618,殷勤
5,619,真的
5,620,搖頭
5,621,陌生
5,622,天下
5,623,公路
5,624,詩人
5,625,壞
5,626,未來
5,627,典禮
5,628,石頭
5,629,出門
5,630,驚動
5,631,邊境
5,632,燦爛
5,633,今夜
5,634,短
5,635,能夠
5,636,回憶
5,637,脈脈
5,638,於
5,639,星光
5,640,曙色
5,641,中原
5,642,入
5,643,幾時
5,644,盤
5,645,突然
5,646,咸陽
5,647,哦
5,648,若是
5,649,親切
5,650,時辰
5,651,水晶
5,652,精巧
5,653,湘水
5,654,圓
5,655,笑聲
5,656,哩
5,657,此刻
5,658,寫
5,659,塔
5,660,玲瓏
5,661,巷
5,662,淡水河
5,663,青山
5,664,燈火
5,665,地方
5,666,超馬
4,667,鞋
4,668,街
4,669,換
4,670,酒杯
4,671,不肯
4,672,一千
4,673,只有
4,674,失蹤
4,675,暖
4,676,黃
4,677,狗
4,678,猶太人
4,679,兩千年
4,680,腳
4,681,腳印
4,682,仰天
4,683,鼓聲
4,684,昇起
4,685,失眠
4,686,藍
4,687,靜
4,688,似乎
4,689,石
4,690,轉
4,691,潮
4,692,分
4,693,子
4,694,十
4,695,忽然
4,696,郵票
4,697,後來
4,698,城市
4,699,腹語
4,700,夏
4,701,歇
4,702,寂靜
4,703,牆
4,704,霹靂
4,705,大夫
4,706,飄
4,707,不朽
4,708,斷奶
4,709,滴
4,710,霜
4,711,水聲
4,712,追隨
4,713,五千年
4,714,四十
4,715,即使
4,716,輸
4,717,回答
4,718,相信
4,719,指
4,720,背影
4,721,無禮
4,722,颱風
4,723,開始
4,724,莖
4,725,一口
4,726,餵
4,727,翹
4,728,當日
4,729,嬰孩
4,730,後土
